"PlayerName","pos","points","marg","value"
"Tyler Eifert","te",68.155,7.51,3.4812558283135
"Antonio Gates","te",67.815,7.16999999999999,3.36892200918878
"John Brown","wr",81.965,7.035,3.32431887512456
"Emmanuel Sanders","wr",81.545,6.61499999999998,3.18555356914697
"Gary Barnidge","te",66.94,6.29499999999999,3.07982762173548
"Matt Jones","rb",133.11,5.78499999999998,2.91132689304841
"Allen Hurns","wr",80.5,5.56999999999999,2.84029227213131
"Ladarius Green","te",64.93,4.285,2.41573651455704
"Michael Crabtree","wr",78.87,3.94,2.30175072750402
"Devante Parker","wr",78.865,3.93499999999999,2.30009875957571
"Jimmy Graham","te",63.495,2.84999999999999,1.94162171913362
"Ryan Mathews","rb",129.865,2.53999999999998,1.83919970757873
"Joe Flacco","qb",238.812,2.32799999999997,1.76915626741861
"Jeremy Langford","rb",128.92,1.59500000000001,1.52697776912917
"Tom Brady","qb",236.484,0,1
"Frank Gore","rb",127.325,0,1
"Stefon Diggs","wr",74.93,0,1
"Jason Witten","te",60.645,0,1
